Italian_Name;English_Name;HCAT2_Name;HCAT2_Code;Direct_Match;Reason
ERBA MEDICA;Alfalfa;alfalfa_lucerne;3301090301;no;Partial match found in HCAT2 names
ASPARAGO;Asparagus;alliums;3301220000;no;
MANDORLO;Almond;almond;3303030100;yes;Direct exact match
AMARANTO;Amaranth;amaranth;3301150100;yes;Direct exact match
ANEMONE;Anemone;anemones_windflowers;3301080200;no;Partial match found in HCAT2 names
ANETO;Dill;anethum_dill;3301061203;no;Partial match found in HCAT2 names
ANGELICA;Angelica;angelica;3301061204;yes;Direct exact match
ANICE COMUNE;Anise;anise_aniseed;3301061205;no;Partial match found in HCAT2 names
MELO;Apple;apples;3303010200;no;Partial match found in HCAT2 names
ALBICOCCO;Apricot;apricots;3303010300;no;Partial match found in HCAT2 names
AREA A SEMINATIVO DEDICATA ALL'ELICICOLTURA;Arable land for snail farming;arable_crops;3301000000;no;
SEMINATIVI;Arable crops;arable_crops;3301000000;;
MISCUGLI DI COLTURE;Mixed crops;arable_crops;3301000000;no;
MARGINI DEI CAMPI SEMINABILI;Field margins (arable);arable_crops;3301000000;no;
BARDANA;Burdock;arctium_burdock;3301290100;no;Partial match found in HCAT2 names
ALOE;Aloe;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
ALTEA;Marshmallow (Althaea);aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
PIANTE AROMATICHE E MEDICINALI E SPEZIE;Aromatic and medicinal plants and spices;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
CAPPERO;Capers;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
CENTELLA;Gotu kola (Centella);aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE);Mixed arboretum (with herbaceous crops);aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
MENTUCCIA;Lesser calamint;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
STATICE;Sea lavender (Limonium);aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;Matched as aromatic medicinal culinary plants spices herbs based on keywords
PIANTAGGINE MAGGIORE O LINGUA D'OCA;Greater plantain;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
GRINDELIA;Grindelia;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
