Value,GDF,IT_HCAT
001,✓,✓
002,✓,✓
003,✓,✓
004,✓,✓
005,✓,✓
007,✗,✓
008,✗,✓
009,✓,✓
010,✓,✓
011,✗,✓
013,✗,✓
016,✓,✓
017,✗,✓
018,✗,✓
019,✓,✓
020,✓,✓
022,✗,✓
023,✗,✓
024,✓,✓
025,✗,✓
027,✓,✓
028,✓,✓
029,✗,✓
031,✓,✓
032,✗,✓
033,✗,✓
034,✗,✓
035,✓,✓
036,✗,✓
037,✓,✓
039,✗,✓
040,✗,✓
042,✗,✓
043,✓,✓
044,✓,✓
045,✗,✓
046,✓,✓
047,✓,✓
048,✗,✓
050,✗,✓
051,✗,✓
052,✗,✓
053,✓,✓
054,✓,✓
055,✓,✓
056,✓,✓
058,✗,✓
060,✗,✓
062,✓,✓
063,✓,✓
064,✓,✓
065,✓,✓
066,✗,✓
069,✓,✓
076,✓,✓
077,✓,✓
078,✗,✓
079,✓,✓
080,✓,✓
081,✗,✓
083,✓,✓
088,✓,✓
089,✓,✓
091,✗,✓
092,✓,✓
093,✓,✓
099,✗,✓
101,✓,✓
103,✓,✓
112,✓,✓
113,✓,✓
114,✓,✓
117,✓,✓
118,✓,✓
120,✗,✓
121,✓,✓
122,✓,✓
127,✓,✓
129,✓,✓
130,✓,✓
131,✗,✓
134,✓,✓
135,✓,✓
145,✓,✓
149,✗,✓
150,✓,✓
152,✓,✓
153,✗,✓
155,✗,✓
156,✗,✓
160,✗,✓
162,✓,✓
164,✗,✓
167,✓,✓
169,✓,✓
171,✓,✓
176,✗,✓
177,✓,✓
179,✗,✓
181,✗,✓
183,✗,✓
188,✓,✓
189,✓,✓
191,✓,✓
192,✗,✓
193,✗,✓
198,✗,✓
201,✗,✓
202,✗,✓
203,✗,✓
204,✓,✓
205,✗,✓
206,✗,✓
207,✗,✓
209,✓,✓
213,✓,✓
214,✓,✓
215,✗,✓
216,✓,✓
217,✗,✓
218,✓,✓
219,✓,✓
220,✗,✓
221,✗,✓
226,✓,✓
228,✓,✓
240,✓,✓
244,✗,✓
245,✗,✓
261,✗,✓
262,✗,✓
263,✓,✓
264,✗,✓
265,✗,✓
270,✓,✓
279,✓,✓
280,✓,✓
286,✗,✓
287,✗,✓
288,✗,✓
289,✗,✓
291,✓,✓
292,✓,✓
293,✗,✓
294,✓,✓
295,✗,✓
296,✓,✓
297,✗,✓
300,✗,✓
301,✗,✓
302,✗,✓
304,✗,✓
305,✗,✓
306,✗,✓
311,✗,✓
313,✗,✓
315,✓,✓
316,✓,✓
317,✗,✓
318,✗,✓
319,✓,✓
320,✗,✓
321,✓,✓
322,✗,✓
323,✗,✓
324,✓,✓
325,✗,✓
326,✗,✓
327,✗,✓
328,✓,✓
329,✗,✓
330,✗,✓
331,✓,✓
332,✓,✓
335,✓,✓
336,✓,✓
337,✗,✓
338,✗,✓
340,✗,✓
342,✗,✓
343,✗,✓
344,✗,✓
345,✗,✓
346,✓,✓
348,✓,✓
349,✗,✓
351,✗,✓
357,✓,✓
359,✓,✓
360,✗,✓
361,✓,✓
362,✓,✗
363,✓,✓
364,✗,✓
369,✓,✓
