hcat3_code,hcat3_name,ec_code,ec_name,hrl_code,hrl_name
3301000000,arable_crops,,,3100,Unclassified arable crop
3301010000,cereal,200.0,Cereals,1150,Other Cereals
3301010100,common_soft_wheat,211.0,Common wheat,1110,Wheat
3301010101,winter_common_soft_wheat,211.0,Common wheat,1110,Wheat
3301010102,spring_common_soft_wheat,211.0,Common wheat,1110,Wheat
3301010199,unspecified_season_common_soft_wheat,211.0,Common wheat,1110,Wheat
3301010200,durum_hard_wheat,212.0,Durum wheat,1110,Wheat
3301010201,winter_durum_hard_wheat,212.0,Durum wheat,1110,Wheat
3301010202,spring_durum_hard_wheat,212.0,Durum wheat,1110,Wheat
3301010299,unspecified_season_durum_hard_wheat,212.0,Durum wheat,1110,Wheat
3301010300,rye,214.0,Rye,1150,Other Cereals
3301010301,winter_rye,214.0,Rye,1150,Other Cereals
3301010302,spring_rye,214.0,Rye,1150,Other Cereals
3301010399,unspecified_season_rye,214.0,Rye,1150,Other Cereals
3301010400,barley,213.0,Barley,1120,Barley
3301010401,winter_barley,213.0,Barley,1120,Barley
3301010402,spring_barley,213.0,Barley,1120,Barley
3301010499,unspecified_season_barley,213.0,Barley,1120,Barley
3301010500,oats,215.0,Oats,1150,Other Cereals
3301010501,winter_oats,215.0,Oats,1150,Other Cereals
3301010502,spring_oats,215.0,Oats,1150,Other Cereals
3301010599,unspecified_season_oats,215.0,Oats,1150,Other Cereals
3301010600,grain_maize_corn_popcorn,216.0,Maize,1130,Maize
3301010699,unspecified_season_grain_maize_corn_popcorn,216.0,Maize,1130,Maize
3301010700,rice,217.0,Rice,1140,Rice
3301010799,unspecified_season_rice,217.0,Rice,1140,Rice
3301010800,triticale,218.0,Triticale,1150,Other Cereals
3301010801,winter_triticale,218.0,Triticale,1150,Other Cereals
3301010802,spring_triticale,218.0,Triticale,1150,Other Cereals
3301010899,unspecified_season_triticale,218.0,Triticale,1150,Other Cereals
3301010900,millet_sorghum,219.0,Other cereals,1150,Other Cereals
3301010901,winter_millet_sorghum,219.0,Other cereals,1150,Other Cereals
3301010902,spring_millet_sorghum,219.0,Other cereals,1150,Other Cereals
3301010904,teff,219.0,Other cereals,1150,Other Cereals
3301010999,unspecified_season_millet_sorghum,219.0,Other cereals,1150,Other Cereals
3301011000,spelt,219.0,Other cereals,1150,Other Cereals
3301011001,winter_spelt,219.0,Other cereals,1150,Other Cereals
3301011002,spring_spelt,219.0,Other cereals,1150,Other Cereals
3301011099,unspecified_season_spelt,219.0,Other cereals,1150,Other Cereals
3301011100,meslin,219.0,Other cereals,1150,Other Cereals
3301011101,winter_meslin,219.0,Other cereals,1150,Other Cereals
3301011102,spring_meslin,219.0,Other cereals,1150,Other Cereals
3301011199,unspecified_season_meslin,219.0,Other cereals,1150,Other Cereals
3301011200,emmer,219.0,Other cereals,1150,Other Cereals
3301011201,winter_emmer,219.0,Other cereals,1150,Other Cereals
3301011202,spring_emmer,219.0,Other cereals,1150,Other Cereals
3301011299,unspecified_season_emmer,219.0,Other cereals,1150,Other Cereals
3301011300,einkorn,219.0,Other cereals,1150,Other Cereals
3301011301,winter_einkorn,219.0,Other cereals,1150,Other Cereals
3301011302,spring_einkorn,219.0,Other cereals,1150,Other Cereals
3301011399,unspecified_season_einkorn,219.0,Other cereals,1150,Other Cereals
3301011400,canary_seed_canaryseed,219.0,Other cereals,1150,Other Cereals
3301011499,unspecified_season_canary_seed_canaryseed,219.0,Other cereals,1150,Other Cereals
3301011500,unspecified_cereals,219.0,Other cereals,1150,Other Cereals
3301011501,winter_unspecified_cereals,219.0,Other cereals,1150,Other Cereals
3301011502,spring_unspecified_cereals,219.0,Other cereals,1150,Other Cereals
3301011503,summer_unspecified_cereals,219.0,Other cereals,1150,Other Cereals
3301011599,unspecified_season_unspecified_cereals,219.0,Other cereals,1150,Other Cereals
3301019900,other_cereals,219.0,Other cereals,1150,Other Cereals
3301019999,unspecified_season_other_cereals,219.0,Other cereals,1150,Other Cereals
3301020000,legumes_dried_pulses_protein_crops,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020100,beans,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020200,chickpeas,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020300,esparsette_onobrychis,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020400,fenugreek,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020500,lentils,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020600,peas,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301020700,sweet_lupins,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301029800,unspecified_legumes_dried_pulses_protein_crops,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301029900,other_dry_pulses,240.0,"Dry pulses, vegetables and flowers",1220,Dry Pulses
3301030000,potatoes,221.0,Potatoes,1310,Potatoes
3301040000,sweet_potatoes,223.0,Other roots crops,1310,Potatoes
3301050000,fodder_roots,250.0,Other fodder crops (excl. temp. grasslands),3100,Unclassified arable crop
3301060000,industrial_nonfood_crops,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060100,tobacco,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060200,hops,230.0,Other non permanent industrial crops,3200,Unclassified permanent crop
3301060300,cotton,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301060400,rapeseed_rape,232.0,Rape and turnip rape,1430,Rapeseed
3301060401,winter_rapeseed_rape,232.0,Rape and turnip rape,1430,Rapeseed
3301060402,spring_rapeseed_rape,232.0,Rape and turnip rape,1430,Rapeseed
3301060403,summer_rapeseed_rape,232.0,Rape and turnip rape,1430,Rapeseed
3301060499,unspecified_season_rapeseed_rape,232.0,Rape and turnip rape,1430,Rapeseed
3301060500,sunflower,231.0,Sunflower,1410,Sunflower
3301060600,poppy,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060601,winter_poppy,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060602,summer_poppy,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060700,flax_linseed,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301060701,flax_linen,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301060702,flax_linseed_oil,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301060800,oilseed_crops,230.0,Other non permanent industrial crops,3100,Unclassified arable crop
3301060900,guizotia_abyssinica_nyger,250.0,Other fodder crops (excl. temp. grasslands),3100,Unclassified arable crop
3301061000,hemp_cannabis,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301061001,finola,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301061100,fibre_crops,230.0,Other non permanent industrial crops,1440,"Flax, cotton and hemp"
3301061200,aromatic_medicinal_culinary_plants_spices_herbs,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061201,actaea_baneberry_christopher_herbs,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061202,alchemilla_ladys_mantle,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061203,anethum_dill,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061204,angelica,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061205,anise_aniseed,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061206,artemisia,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3301061207,basil,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
