ec_code,ec_name,parcel_count
200.0,Cereals,156784
213.0,Barley,13622
214.0,Rye,14639
215.0,Oats,637
217.0,Rice,40517
218.0,Triticale,7631
219.0,Other cereals,3744
221.0,Potatoes,801
223.0,Other roots crops,30
230.0,Other non permanent industrial crops,231
231.0,Sunflower,1184
232.0,Rape and turnip rape,2210
233.0,Soya,23226
240.0,"Dry pulses, vegetables and flowers",37590
250.0,Other fodder crops (excl. temp. grasslands),44484
300.0,Woodland and shrubland type of vegetation,61885
500.0,Grassland (permanent and temporary),186961
